treeID class lon lat diam height NSspan EWspan
1 leafless 24.209580011665821 -99.898820025846362 40.8 10 15.8 17.12
2 leafless 24.209550004452467 -99.899380020797253 38 7 6.81 9.08
3 dry 24.209220008924603 -99.899080032482743 44.5 11 8.5 11
4 leafless 24.209562996402383 -99.899485968053341 34.5 8 8.62 7.5
5 leafless 24.209696017205715 -99.899658970534801 27.25 8.5 6.78 6.37
6 dry 24.209614964202046 -99.899561991915107 35.63 10 9.7 13
7 dry 24.209548998624086 -99.89961102604866 38.7 12 10.6 6.9
8 dry 24.209742033854127 -99.899469958618283 22 8 8.2 7.14
9 leafless 24.209718983620405 -99.899391001090407 23.6 9 6.85 7.82
10 dry 24.209675984457135 -99.899367028847337 22.3 9.5 7.01 5.21
11 green 24.209596021100879 -99.898735033348203 28.8 12 9 7
12 green 24.209672966971993 -99.898669989779592 27 9 4.55 7.12
13 green 24.209667015820742 -99.898622967302799 28 10.5 7.78 9.9
14 orange 24.209518991410732 -99.898868976160884 19.03 10 7.72 7.6
15 red 24.209464006125927 -99.898992022499442 15 7 6.9 8.14
16 yellow 24.209395023062825 -99.898983975872397 13.5 6 4.34 4.23
17 orange 24.209279017522931 -99.899072991684079 28.3 10 6 5
18 green 24.209238030016422 -99.898934019729495 48.5 10 9.6 13.2
19 green 24.209294021129608 -99.898906024172902 18.6 7.5 8.55 7
20 green 24.209053041413426 -99.899007026106119 37.4 11 11.75 8.4
21 green 24.209021022543311 -99.89892203360796 26.1 9 8.32 6.69
22 infested 24.209283962845802 -99.898726986721158 33.7 9 7.1 7.5
23 infested 24.209383958950639 -99.898807033896446 17.35 10 6.43 6.1
24 infested 24.209580011665821 -99.899042984470725 22.2 7.5 5.7 6.1
25 red 24.20968403108418 -99.899149015545845 22.6 7.5 8.7 6.8
26 red 24.209700962528586 -99.899298967793584 23 8 6.55 4.89
27 red 24.209809005260468 -99.899330986663699 18.8 6 5.6 4.25
28 yellow 24.209442967548966 -99.899121019989252 15.1 6 4.5 5.28
29 red 24.209305001422763 -99.898995961993933 28.5 6 8.4 7.75
30 yellow 24.209495019167662 -99.898851960897446 21 9 5.38 5.3
